,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,8:38,Titans,Rob Bironas 26 yard field goal,3,0
1,2.0,14:57,Texans,Kris Brown 32 yard field goal,3,3
2,2.0,11:03,Texans,Andre Johnson 13 yard pass from Matt Schaub (Kris Brown kick),3,10
3,2.0,0:02,Titans,Rob Bironas 23 yard field goal,6,10
4,3.0,9:40,Titans,Rob Bironas 51 yard field goal,9,10
5,4.0,11:45,Texans,Kris Brown 24 yard field goal,9,13
6,4.0,5:23,Titans,Rob Bironas 34 yard field goal,12,13
