,Quarter,Time,Tm,Detail,PIT,CHI
0,1,,Bears,Kevin Butler 40 yard field goal,0,3
1,2,,Steelers,Erric Pegram 1 yard rush (Norm Johnson kick),7,3
2,2,,Bears,Curtis Conway 6 yard pass from Erik Kramer (Kevin Butler kick),7,10
3,2,,Steelers,Norm Johnson 40 yard field goal,10,10
4,2,,Steelers,Erric Pegram 7 yard pass from Neil O'Donnell (Norm Johnson kick),17,10
5,3,,Bears,Tony Carter 12 yard pass from Erik Kramer (Kevin Butler kick),17,17
6,3,,Bears,Ryan Wetnight 14 yard pass from Erik Kramer (Kevin Butler kick),17,24
7,3,,Steelers,Norm Johnson 46 yard field goal,20,24
8,4,,Bears,Kevin Butler 27 yard field goal,20,27
9,4,,Steelers,Erric Pegram 6 yard rush (Norm Johnson kick),27,27
10,4,,Bears,Barry Minter 2 yard interception return (Kevin Butler kick),27,34
11,4,,Steelers,Ernie Mills 11 yard pass from Neil O'Donnell (Norm Johnson kick),34,34
12,OT,,Steelers,Norm Johnson 24 yard field goal,37,34
