,Quarter,Time,Tm,Detail,OAK,PHI
0,1.0,0:28,Raiders,Charlie Garner 2 yard rush (Sebastian Janikowski kick),7,0
1,2.0,1:14,Raiders,Sebastian Janikowski 42 yard field goal,10,0
2,2.0,0:27,Eagles,David Akers 34 yard field goal,10,3
3,3.0,7:29,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),17,3
4,4.0,14:12,Raiders,Sebastian Janikowski 32 yard field goal,20,3
5,4.0,2:28,Eagles,Duce Staley 3 yard rush (David Akers kick),20,10
