,Quarter,Tm,Detail,RAI,KAN
0,1.0,Chiefs,Nick Lowery 29 yard field goal,0,3
1,2.0,Chiefs,Kevin Ross 71 yard interception return (Nick Lowery kick),0,10
2,2.0,Chiefs,Nick Lowery 27 yard field goal,0,13
3,2.0,Raiders,Chris Bahr 43 yard field goal,3,13
4,3.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett,9,13
5,4.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),16,13
6,4.0,Raiders,Chris Bahr 24 yard field goal,19,13
7,4.0,Chiefs,Herman Heard 5 yard rush (Nick Lowery kick),19,20
8,4.0,Raiders,Chris Bahr 19 yard field goal,22,20
