,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Norm Johnson 27 yard field goal,0,3
1,4.0,Chargers,Arthur Cox 14 yard pass from Jim McMahon (Chris Bahr kick),7,3
2,4.0,Seahawks,Brian Blades 21 yard pass from Dave Krieg (Norm Johnson kick),7,10
