,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,7:40,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),7,0
1,1.0,2:18,Chiefs,Harrison Butker 24 yard field goal,7,3
2,2.0,9:31,Chiefs,Travis Kelce 9 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
3,2.0,0:54,Chiefs,Sammy Watkins 13 yard pass from Patrick Mahomes (Harrison Butker kick failed),7,16
4,2.0,0:05,Broncos,Tim Patrick 24 yard pass from Case Keenum (Brandon McManus kick),14,16
5,3.0,10:16,Chiefs,Sammy Watkins 10 yard pass from Patrick Mahomes (Harrison Butker kick),14,23
6,3.0,5:12,Chiefs,Kareem Hunt 23 yard pass from Patrick Mahomes (Harrison Butker kick),14,30
7,4.0,14:57,Broncos,Jeff Heuerman 4 yard pass from Case Keenum (run failed),20,30
8,4.0,1:48,Broncos,Brandon McManus 36 yard field goal,23,30
