,Quarter,Tm,Detail,DEN,SDG
0,1,Broncos,Otis Armstrong 3 yard rush (Jim Turner kick),7,0
1,2,Chargers,Dan Fouts 4 yard rush (Mike Wood kick),7,7
2,3,Chargers,Charlie Joiner 32 yard pass from Dan Fouts (Mike Wood kick),7,14
3,4,Chargers,Mike Wood 24 yard field goal,7,17
