,Quarter,Time,Tm,Detail,OAK,IND
0,1.0,9:16,Raiders,Foster Moreau 18 yard pass from Derek Carr (Daniel Carlson kick),7,0
1,1.0,8:13,Raiders,Trevor Davis 60 yard rush (Daniel Carlson kick),14,0
2,1.0,5:28,Colts,Jack Doyle 5 yard pass from Jacoby Brissett (Adam Vinatieri kick),14,7
3,2.0,14:18,Raiders,Tyrell Williams 19 yard pass from Derek Carr (Daniel Carlson kick),21,7
4,2.0,7:37,Colts,Adam Vinatieri 26 yard field goal,21,10
5,3.0,3:18,Raiders,Daniel Carlson 26 yard field goal,24,10
6,4.0,5:32,Colts,Chester Rogers 4 yard pass from Jacoby Brissett (Adam Vinatieri kick),24,17
7,4.0,2:17,Raiders,Erik Harris 30 yard interception return (Daniel Carlson kick),31,17
8,4.0,1:19,Colts,Eric Ebron 48 yard pass from Jacoby Brissett (Adam Vinatieri kick),31,24
