,Quarter,Tm,Detail,CRD,BKN
0,1.0,Cardinals,Lou Zontini 18 yard field goal,3,0
1,2.0,Cardinals,Al Coppage 41 yard pass from Hugh McCullough,9,0
2,3.0,Dodgers,Ace Parker 19 yard rush (Ace Parker kick),9,7
3,3.0,Dodgers,Perry Schwartz 25 yard pass from Ace Parker (Ace Parker kick),9,14
