,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Tommy Vardell 28 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,2.0,Browns,Randy Baldwin 5 yard pass from Vinny Testaverde (Matt Stover kick),14,0
2,2.0,Browns,Brian Kinchen 1 yard pass from Vinny Testaverde (Matt Stover kick),21,0
3,2.0,Bengals,Jeff Query 11 yard pass from Jay Schroeder (Doug Pelfrey kick),21,7
4,3.0,Bengals,Doug Pelfrey 49 yard field goal,21,10
5,4.0,Browns,Mark Carrier 15 yard rush (Matt Stover kick),28,10
6,4.0,Bengals,Carl Pickens 24 yard pass from Jay Schroeder (Doug Pelfrey kick),28,17
