,Quarter,Tm,Detail,BOS,GNB
0,1.0,Packers,Don Hutson 38 yard pass from Arnie Herber (Ernie Smith kick),0,7
1,1.0,Packers,Ernie Smith 30 yard field goal,0,10
2,2.0,Packers,Johnny Blood 38 yard pass from Bob Monnett (Ade Schwammel kick),0,17
3,3.0,Packers,Paul Miller 22 yard pass from Joe Laws (Ernie Smith kick),0,24
4,3.0,Redskins,"Safety, Green Bay fumbled out of end zone",2,24
5,4.0,Packers,Bernie Scherer 50 yard interception return (Cal Clemens kick),2,31
