,Quarter,Tm,Detail,NOR,KAN
0,1.0,Saints,Morten Andersen 40 yard field goal,3,0
1,1.0,Saints,Eric Martin 13 yard pass from Bobby Hebert (Morten Andersen kick),10,0
2,2.0,Saints,Quinn Early 45 yard pass from Bobby Hebert (Morten Andersen kick),17,0
3,3.0,Chiefs,Nick Lowery 23 yard field goal,17,3
4,4.0,Chiefs,Jonathan Hayes 7 yard pass from Steve DeBerg (Nick Lowery kick),17,10
