,Quarter,Time,Tm,Detail,NYG,SFO
0,1.0,,Giants,Brad Daluiso 37 yard field goal,3,0
1,1.0,,49ers,Doug Brien 22 yard field goal,3,3
2,2.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),3,10
3,2.0,,49ers,Jerry Rice 16 yard pass from Steve Young (Doug Brien kick),3,17
4,3.0,,49ers,Doug Brien 46 yard field goal,3,20
5,3.0,,Giants,Brad Daluiso 32 yard field goal,6,20
