,Quarter,Tm,Detail,DET,TAM
0,1.0,Buccaneers,Neil O'Donoghue 31 yard field goal,0,3
1,1.0,Buccaneers,Lee Roy Selmon 29 yard defensive fumble return (Neil O'Donoghue kick),0,10
2,2.0,Lions,David Hill 11 yard pass from Joe Reed (Benny Ricardo kick),7,10
3,2.0,Buccaneers,Ricky Bell 7 yard rush (Neil O'Donoghue kick),7,17
4,2.0,Buccaneers,Jimmie Giles 66 yard pass from Doug Williams (Neil O'Donoghue kick),7,24
5,4.0,Buccaneers,Jim Obradovich 2 yard pass from Doug Williams (Neil O'Donoghue kick),7,31
6,4.0,Lions,Rick Kane 3 yard rush (Benny Ricardo kick),14,31
7,4.0,Lions,"Safety, English tackled Rae in end zone",16,31
