,Quarter,Tm,Detail,CLE,RAM
0,1.0,Rams,LeRoy Irvin 81 yard interception return (Mike Lansford kick),0,7
1,1.0,Browns,Mike Pruitt 6 yard rush (Matt Bahr kick),7,7
2,2.0,Rams,Mike Lansford 37 yard field goal,7,10
3,2.0,Browns,Matt Bahr 25 yard field goal,10,10
4,3.0,Browns,Ozzie Newsome 4 yard pass from Paul McDonald (Matt Bahr kick),17,10
5,4.0,Rams,Ron Brown 5 yard pass from Vince Ferragamo (Mike Lansford kick),17,17
6,4.0,Rams,Mike Lansford 27 yard field goal,17,20
