,Quarter,Tm,Detail,PHI,DET
0,1.0,Lions,Dexter Bussey 14 yard rush (Steve Mike-Mayer kick),0,7
1,2.0,Eagles,Keith Krepfle 32 yard pass from Ron Jaworski (Horst Muhlmann kick),7,7
2,2.0,Lions,Steve Mike-Mayer 45 yard field goal,7,10
3,3.0,Eagles,Harold Carmichael 16 yard pass from Ron Jaworski,13,10
4,3.0,Lions,Dexter Bussey 3 yard pass from Greg Landry (Steve Mike-Mayer kick),13,17
