,Quarter,Tm,Detail,BKN,WAS
0,2.0,Redskins,Wilbur Moore 1 yard rush (Joe Aguirre kick),0,7
1,2.0,Redskins,Joe Aguirre 8 yard pass from Frank Filchock (Joe Aguirre kick),0,14
2,2.0,Tigers,Pug Manders 2 yard rush (Bruiser Kinard kick),7,14
3,4.0,Tigers,Bob Masterson unknown yard pass from Cecil Johnson (Bruiser Kinard kick),14,14
4,4.0,Redskins,Joe Aguirre 38 yard field goal,14,17
