,Quarter,Time,Tm,Detail,TAM,HOU
0,1.0,,Oilers,Al Del Greco 19 yard field goal,0,3
1,1.0,,Oilers,Al Del Greco 45 yard field goal,0,6
2,2.0,,Buccaneers,Trent Dilfer 21 yard rush (Michael Husted kick),7,6
3,2.0,,Oilers,Al Del Greco 41 yard field goal,7,9
4,3.0,,Oilers,Marion Butts 4 yard rush (Al Del Greco kick),7,16
5,4.0,,Oilers,Al Del Greco 39 yard field goal,7,19
