,Quarter,Time,Tm,Detail,DEN,OAK
0,2.0,8:45,Raiders,Amari Cooper 9 yard pass from Derek Carr (Giorgio Tavecchio kick),0,7
1,2.0,2:49,Raiders,Marshawn Lynch 1 yard rush (Giorgio Tavecchio kick),0,14
2,3.0,6:22,Raiders,Jalen Richard 6 yard pass from Derek Carr (Giorgio Tavecchio kick),0,21
3,4.0,10:21,Broncos,Cody Latimer 25 yard pass from Trevor Siemian (Brandon McManus kick),7,21
4,4.0,2:39,Broncos,Bennie Fowler 22 yard pass from Trevor Siemian (Brandon McManus kick),14,21
