,Quarter,Tm,Detail,NYJ,SDG
0,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),0,7
1,2.0,Jets,Wesley Walker 26 yard pass from Richard Todd (Pat Leahy kick),7,7
2,2.0,Jets,Pat Leahy 32 yard field goal,10,7
3,2.0,Jets,Pat Leahy 27 yard field goal,13,7
4,3.0,Chargers,Rolf Benirschke 23 yard field goal,13,10
5,3.0,Jets,Freeman McNeil 9 yard rush (Pat Leahy kick),20,10
6,3.0,Chargers,Chuck Muncie 2 yard rush,20,16
7,4.0,Jets,Dwayne Crutchfield 1 yard rush (Pat Leahy kick),27,16
8,4.0,Chargers,Bobby Duckworth 29 yard pass from Dan Fouts,27,22
9,4.0,Jets,Freeman McNeil 18 yard pass from Richard Todd (Pat Leahy kick),34,22
10,4.0,Chargers,Charlie Joiner 33 yard pass from Dan Fouts (Rolf Benirschke kick),34,29
11,4.0,Jets,Mike Augustyniak 1 yard rush (Pat Leahy kick),41,29
