,Quarter,Tm,Detail,NYJ,WAS
0,1.0,Jets,Pat Leahy 31 yard field goal,3,0
1,2.0,Redskins,John McDaniel 33 yard pass from Joe Theismann (Mark Moseley kick),3,7
2,2.0,Redskins,Mark Moseley 39 yard field goal,3,10
3,2.0,Redskins,Mark Moseley 34 yard field goal,3,13
4,3.0,Redskins,Jean Fugett 20 yard pass from Joe Theismann (Mark Moseley kick),3,20
5,4.0,Redskins,Mark Moseley 44 yard field goal,3,23
