,Quarter,Tm,Detail,PHI,NWE
0,1,Patriots,Stanley Morgan 64 yard pass from Steve Grogan (John Smith kick),0,7
1,2,Patriots,Darryl Stingley 16 yard pass from Steve Grogan (John Smith kick),0,14
2,4,Eagles,Charlie Smith 12 yard pass from Ron Jaworski,6,14
