,Quarter,Tm,Detail,PHO,PHI
0,1.0,Cardinals,Greg Davis 52 yard field goal,3,0
1,1.0,Cardinals,Johnny Johnson 51 yard pass from Tom Tupa (Greg Davis kick),10,0
2,1.0,Cardinals,Greg Davis 28 yard field goal,13,0
3,2.0,Cardinals,Greg Davis 22 yard field goal,16,0
4,2.0,Eagles,Thomas Sanders 3 yard rush (Roger Ruzek kick),16,7
5,2.0,Eagles,Roger Ruzek 47 yard field goal,16,10
6,3.0,Cardinals,Greg Davis 42 yard field goal,19,10
7,4.0,Cardinals,Rod Saddler 7 yard defensive fumble return (Greg Davis kick),26,10
