,Quarter,Time,Tm,Detail,SDG,WAS
0,1.0,,Chargers,John Carney 32 yard field goal,3,0
1,1.0,,Redskins,James Thrash 25 yard pass from Trent Green (Cary Blanchard kick),3,7
2,2.0,,Chargers,John Carney 27 yard field goal,6,7
3,2.0,,Redskins,Brian Mitchell 101 yard kickoff return (Cary Blanchard kick),6,14
4,2.0,,Chargers,Freddie Jones 23 yard pass from Terrell Fletcher (Freddie Jones pass from Craig Whelihan),14,14
5,2.0,0:09,Redskins,Cary Blanchard 35 yard field goal,14,17
6,3.0,0:09,Chargers,John Carney 40 yard field goal,17,17
7,4.0,0:09,Chargers,John Carney 25 yard field goal,20,17
8,4.0,1:59,Redskins,Leslie Shepherd 20 yard pass from Trent Green (Cary Blanchard kick),20,24
