,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,,Cardinals,Joe Nedney 42 yard field goal,3,0
1,2.0,,Cowboys,Richie Cunningham 23 yard field goal,3,3
2,2.0,,Cowboys,Herschel Walker 11 yard pass from Troy Aikman (Richie Cunningham kick),3,10
3,3.0,,Cardinals,Joe Nedney 39 yard field goal,6,10
4,3.0,,Cowboys,Sherman Williams 1 yard rush (Richie Cunningham kick),6,17
5,3.0,,Cowboys,Emmitt Smith 5 yard rush (Richie Cunningham kick),6,24
