,Quarter,Tm,Detail,SDG,CIN
0,1.0,Chargers,Glen Bonner 2 yard rush (Dennis Partee kick),7,0
1,2.0,Chargers,Dennis Partee 22 yard field goal,10,0
2,2.0,Bengals,Lenvil Elliott 16 yard rush (Horst Muhlmann kick),10,7
3,2.0,Chargers,Ray Wersching 28 yard field goal,13,7
4,3.0,Bengals,Boobie Clark 12 yard rush (Horst Muhlmann kick),13,14
5,3.0,Bengals,Horst Muhlmann 34 yard field goal,13,17
6,4.0,Chargers,Dan Fouts 1 yard rush (Dennis Partee kick),20,17
