,Quarter,Tm,Detail,COL,RCH
0,1,Tigers,"Safety,",2,0
1,2,Tigers,Bob Rapp unknown yard pass from Sonny Winters,8,0
2,3,Tigers,Bob Rapp unknown yard pass from Sonny Winters (Sonny Winters kick),15,0
3,4,Jeffersons,Jerry Noonan unknown yard rush (Shag Sheard kick),15,7
