,Quarter,Tm,Detail,CHI,ATL
0,1.0,Falcons,Bob Etter 30 yard field goal,0,3
1,1.0,Falcons,Jim Mitchell 11 yard pass from Randy Johnson (Bob Etter kick),0,10
2,2.0,Bears,Gale Sayers 10 yard rush (Mac Percival kick),7,10
3,2.0,Falcons,Paul Flatley 32 yard pass from Randy Johnson (Bob Etter kick),7,17
4,2.0,Bears,Mac Percival 37 yard field goal,10,17
5,2.0,Falcons,Paul Flatley 20 yard pass from Randy Johnson (Bob Etter kick),10,24
6,2.0,Falcons,Bob Etter 17 yard field goal,10,27
7,3.0,Bears,Bobby Douglass 39 yard rush (Mac Percival kick),17,27
8,3.0,Falcons,Harmon Wages 48 yard rush (Bob Etter kick),17,34
9,3.0,Bears,Dick Gordon 12 yard pass from Bobby Douglass (Mac Percival kick),24,34
10,3.0,Falcons,Cannonball Butler 65 yard pass from Randy Johnson (Bob Etter kick),24,41
11,4.0,Bears,Brian Piccolo 1 yard rush (Mac Percival kick),31,41
12,4.0,Falcons,Mal Snider 48 yard kickoff return (Bob Etter kick),31,48
