,Quarter,Tm,Detail,SFO,CHI
0,2.0,Bears,Ed Brown 1 yard rush (George Blanda kick),0,7
1,2.0,Bears,Bobby Watkins 1 yard rush (George Blanda kick),0,14
2,3.0,Bears,George Blanda 14 yard field goal,0,17
3,3.0,Bears,Rick Casares 1 yard rush (George Blanda kick),0,24
4,4.0,49ers,Joe Arenas 32 yard pass from Y.A. Tittle (Gordie Soltau kick),7,24
5,4.0,Bears,Rick Casares 1 yard rush (George Blanda kick),7,31
