,Quarter,Time,Tm,Detail,SDG,SEA
0,1.0,,Seahawks,Jon Kitna 2 yard rush (Todd Peterson kick),0,7
1,1.0,,Chargers,Jamal Williams 14 yard interception return (John Carney kick),7,7
2,1.0,,Seahawks,Terry McDaniel 43 yard interception return (Todd Peterson kick),7,14
3,2.0,,Seahawks,Ricky Watters 1 yard rush (Todd Peterson kick),7,21
4,2.0,0:25,Chargers,Terrell Fletcher 1 yard rush (John Carney kick),14,21
5,3.0,0:25,Seahawks,Joey Galloway 9 yard pass from Jon Kitna (Todd Peterson kick),14,28
6,4.0,0:25,Chargers,John Carney 21 yard field goal,17,28
7,4.0,0:25,Seahawks,Cortez Kennedy 39 yard defensive fumble return (Todd Peterson kick),17,35
8,4.0,0:25,Seahawks,Todd Peterson 29 yard field goal,17,38
