,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Matt Bahr 27 yard field goal,0,3
1,1.0,Giants,Matt Bahr 37 yard field goal,0,6
2,2.0,Cowboys,Ken Willis 22 yard field goal,3,6
3,2.0,Giants,Rodney Hampton 1 yard rush (Matt Bahr kick),3,13
4,2.0,Giants,Matt Bahr 22 yard field goal,3,16
5,3.0,Cowboys,Ken Willis 31 yard field goal,6,16
6,3.0,Cowboys,Ken Willis 18 yard field goal,9,16
7,4.0,Giants,Mark Ingram 35 yard pass from Jeff Hostetler,9,22
