,Quarter,Time,Tm,Detail,NYJ,CLE
0,1.0,,Browns,Eric Metcalf 37 yard rush (Matt Stover kick),0,7
1,2.0,,Browns,Matt Stover 23 yard field goal,0,10
2,2.0,,Browns,Earnest Byner 1 yard rush (Matt Stover kick),0,17
3,2.0,,Browns,Leroy Hoard 18 yard rush (Matt Stover kick),0,24
4,3.0,,Browns,Matt Stover 45 yard field goal,0,27
5,4.0,,Jets,Rob Moore 24 yard pass from Jack Trudeau (Nick Lowery kick),7,27
