,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Frank Gifford 31 yard pass from Charlie Conerly (Ben Agajanian kick),7,0
1,1.0,Eagles,Jerry Norton 96 yard kickoff return (Bobby Walston kick),7,7
2,1.0,Giants,Ben Agajanian 37 yard field goal,10,7
3,2.0,Giants,Cliff Livingston fumble recovery in end zone (Ben Agajanian kick),17,7
4,3.0,Eagles,Dick Bielski 14 yard field goal,17,10
5,3.0,Eagles,Jim Parmer 2 yard rush (Bobby Walston kick),17,17
6,4.0,Eagles,Bill Stribling 52 yard pass from Bobby Thomason (Bobby Walston kick),17,24
7,4.0,Eagles,Bobby Walston 13 yard field goal,17,27
