,Quarter,Tm,Detail,WAS,PIT
0,2.0,Steelers,Ray Mathews 25 yard pass from Earl Morrall (Gary Glick kick),0,7
1,3.0,Redskins,Jim Podoley 37 yard pass from Eddie LeBaron (Sam Baker kick),7,7
2,3.0,Steelers,Dick Young 3 yard rush (Gary Glick kick),7,14
3,4.0,Steelers,Jug Girard 42 yard pass from Earl Morrall (Gary Glick kick),7,21
4,4.0,Steelers,Jug Girard 32 yard pass from Earl Morrall (Gary Glick kick),7,28
