,Quarter,Time,Tm,Detail,KAN,WAS
0,1.0,5:18,Redskins,Brett Conway 30 yard field goal,0,3
1,2.0,9:43,Chiefs,Tony Richardson 4 yard rush (Todd Peterson kick),7,3
2,2.0,4:03,Chiefs,Priest Holmes 24 yard pass from Trent Green (Todd Peterson kick),14,3
3,2.0,3:39,Redskins,Rod Gardner 26 yard pass from Tony Banks (Brett Conway kick),14,10
4,2.0,1:20,Chiefs,Priest Holmes 7 yard rush (Todd Peterson kick),21,10
5,2.0,0:10,Chiefs,Priest Holmes 24 yard rush (Todd Peterson kick),28,10
6,3.0,10:10,Redskins,Brett Conway 28 yard field goal,28,13
7,3.0,4:22,Chiefs,Tony Gonzalez 3 yard pass from Trent Green (Todd Peterson kick),35,13
8,4.0,14:51,Chiefs,Todd Peterson 33 yard field goal,38,13
9,4.0,10:21,Chiefs,Chris Thomas 3 yard pass from Trent Green (Todd Peterson kick),45,13
