,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,J.C. Caroline 57 yard defensive fumble return (John Aveni kick),0,7
1,2.0,49ers,Tommy Davis 8 yard field goal,3,7
2,2.0,Bears,Johnny Morris 61 yard rush,3,13
3,2.0,49ers,J.D. Smith 3 yard rush (Tommy Davis kick),10,13
4,2.0,Bears,Johnny Morris 37 yard rush (John Aveni kick),10,20
5,3.0,Bears,Willard Dewveall 91 yard pass from Ed Brown (John Aveni kick),10,27
