,Quarter,Tm,Detail,NYJ,IND
0,2,Colts,Dean Biasucci 31 yard field goal,0,3
1,4,Jets,Cary Blanchard 35 yard field goal,3,3
2,OT,Colts,Dean Biasucci 47 yard field goal,3,6
