,Quarter,Time,Tm,Detail,PIT,JAX
0,2.0,,Steelers,Norm Johnson 24 yard field goal,3,0
1,2.0,,Jaguars,Jonathan Quinn 15 yard rush (Mike Hollis kick),3,7
2,2.0,,Jaguars,Fred Taylor 9 yard pass from Jonathan Quinn (Mike Hollis kick),3,14
3,3.0,,Jaguars,Fred Taylor 12 yard rush (Mike Hollis kick),3,21
