,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Roger Staubach 2 yard rush (Efren Herrera kick),0,7
1,1.0,Cowboys,Preston Pearson 10 yard pass from Roger Staubach (Efren Herrera kick),0,14
2,2.0,Cowboys,Doug Dennison 1 yard rush (Efren Herrera kick),0,21
3,2.0,Cowboys,Tony Dorsett 11 yard rush (Efren Herrera kick),0,28
4,2.0,Giants,Willie Spencer 1 yard rush (Joe Danelo kick),7,28
5,2.0,Cowboys,Efren Herrera 37 yard field goal,7,31
6,3.0,Giants,Bobby Hammond 68 yard punt return (Joe Danelo kick),14,31
7,3.0,Cowboys,Efren Herrera 41 yard field goal,14,34
8,3.0,Giants,Doug Kotar 3 yard rush (Joe Danelo kick),21,34
9,4.0,Cowboys,Tony Dorsett 34 yard rush (Efren Herrera kick),21,41
