,Quarter,Time,Tm,Detail,NYJ,STL
0,1.0,3:45,Rams,Brandon Gibson 1 yard pass from Sam Bradford (Greg Zuerlein kick),0,7
1,1.0,0:44,Jets,Nick Folk 51 yard field goal,3,7
2,2.0,4:31,Jets,Chaz Schilens 25 yard pass from Mark Sanchez (Nick Folk kick),10,7
3,2.0,0:57,Jets,Nick Folk 51 yard field goal,13,7
4,4.0,14:16,Jets,Bilal Powell 5 yard rush (Nick Folk kick),20,7
5,4.0,8:29,Jets,Bilal Powell 11 yard rush (Nick Folk kick),27,7
6,4.0,5:40,Rams,Brandon Gibson 2 yard pass from Sam Bradford (pass failed),27,13
