,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Mike Clark 18 yard field goal,0,3
1,2.0,Cowboys,Craig Baynham 1 yard rush (Mike Clark kick),0,10
2,2.0,Cowboys,Don Perkins 9 yard rush (Mike Clark kick),0,17
3,2.0,Redskins,Charley Taylor 29 yard pass from Jim Ninowski (Charlie Gogolak kick),7,17
4,3.0,Cowboys,"Safety, Ninowski fumbled out of end zone (Pugh)",7,19
5,3.0,Redskins,Jerry Smith 11 yard pass from Jim Ninowski (Charlie Gogolak kick),14,19
6,4.0,Redskins,Pat Richter 4 yard pass from Jim Ninowski,20,19
7,4.0,Cowboys,Mike Clark 25 yard field goal,20,22
8,4.0,Cowboys,Larry Cole 5 yard interception return (Mike Clark kick),20,29
