,Quarter,Tm,Detail,DEN,CHI
0,1.0,Broncos,Fred Steinfort 46 yard field goal,3,0
1,2.0,Bears,Walter Payton 19 yard pass from Vince Evans (John Roveto kick),3,7
2,2.0,Bears,Roland Harper 4 yard rush (John Roveto kick),3,14
3,3.0,Bears,Gary Fencik 69 yard interception return (John Roveto kick),3,21
4,3.0,Broncos,Riley Odoms 6 yard pass from Craig Morton (Fred Steinfort kick),10,21
5,3.0,Bears,Al Harris 44 yard interception return (John Roveto kick),10,28
6,3.0,Broncos,Rick Upchurch 25 yard pass from Steve DeBerg (Fred Steinfort kick),17,28
7,4.0,Bears,Walter Payton 7 yard pass from Vince Evans (John Roveto kick),17,35
8,4.0,Broncos,Rick Upchurch 39 yard pass from Steve DeBerg (Fred Steinfort kick),24,35
