,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Don Cockroft 10 yard field goal,3,0
1,2.0,Eagles,Tom Dempsey 18 yard field goal,3,3
2,2.0,Browns,Don Cockroft 44 yard field goal,6,3
3,2.0,Browns,Bo Scott 1 yard rush (Don Cockroft kick),13,3
4,2.0,Browns,Frank Pitts 22 yard pass from Mike Phipps (Don Cockroft kick),20,3
5,3.0,Browns,Mike Phipps 4 yard rush (Don Cockroft kick),27,3
6,3.0,Eagles,Harold Jackson 20 yard pass from John Reaves (Tom Dempsey kick),27,10
7,4.0,Eagles,John Reaves 1 yard rush (Tom Dempsey kick),27,17
