,Quarter,Tm,Detail,RAM,GNB
0,3.0,Packers,Bruce Smith 3 yard rush (Ward Cuff kick),0,7
1,3.0,Packers,Ed Neal fumble recovery in end zone (Ward Cuff kick),0,14
2,4.0,Packers,Ted Fritsch 23 yard field goal,0,17
3,4.0,Rams,Pat West 4 yard rush (Bob Waterfield kick),7,17
4,4.0,Rams,Bob Waterfield 4 yard rush (Bob Waterfield kick),14,17
