,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Franco Harris 7 yard rush (Roy Gerela kick),0,7
1,1.0,Steelers,Rocky Bleier 15 yard rush (Roy Gerela kick),0,14
2,2.0,Oilers,Toni Fritsch 19 yard field goal,3,14
3,2.0,Steelers,Lynn Swann 29 yard pass from Terry Bradshaw (Roy Gerela kick),3,21
4,2.0,Steelers,John Stallworth 17 yard pass from Terry Bradshaw (Roy Gerela kick),3,28
5,2.0,Steelers,Roy Gerela 37 yard field goal,3,31
6,3.0,Steelers,Roy Gerela 22 yard field goal,3,34
7,3.0,Oilers,"Safety, Washington tackled Bleier in end zone",5,34
