,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Frank Clarke 44 yard pass from Don Meredith (Allen Green kick),0,7
1,2.0,Steelers,John Henry Johnson 1 yard rush (Bobby Layne kick),7,7
2,2.0,Steelers,Buddy Dial 44 yard pass from Bobby Layne (Bobby Layne kick),14,7
3,2.0,Cowboys,Allen Green 15 yard field goal,14,10
4,3.0,Cowboys,Billy Howton 45 yard pass from Eddie LeBaron (Allen Green kick),14,17
5,4.0,Steelers,Lou Michaels 12 yard field goal,17,17
6,4.0,Steelers,Johnny Sample 39 yard interception return (Bobby Layne kick),24,17
7,4.0,Cowboys,Dick Bielski 17 yard pass from Eddie LeBaron (Allen Green kick),24,24
8,4.0,Cowboys,Allen Green 27 yard field goal,24,27
