,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,2:00,Jaguars,Greg Jones 2 yard pass from Quinn Gray (John Carney kick),7,0
1,2.0,5:07,Jaguars,Maurice Jones-Drew 8 yard rush (John Carney kick),14,0
2,2.0,0:00,Titans,Rob Bironas 37 yard field goal,14,3
3,3.0,7:49,Jaguars,Fred Taylor 4 yard rush (John Carney kick),21,3
4,3.0,4:44,Titans,Rob Bironas 49 yard field goal,21,6
5,4.0,14:54,Titans,Justin Gage 20 yard pass from Vince Young (Rob Bironas kick),21,13
6,4.0,4:47,Jaguars,Greg Jones 3 yard rush (John Carney kick),28,13
