,Quarter,Time,Tm,Detail,KAN,HOU
0,1.0,,Oilers,Al Del Greco 34 yard field goal,0,3
1,1.0,,Oilers,Willie Davis 34 yard pass from Chris Chandler (Al Del Greco kick),0,10
2,1.0,,Chiefs,Tamarick Vanover 11 yard pass from Steve Bono (Pete Stoyanovich kick),7,10
3,2.0,,Chiefs,Pete Stoyanovich 35 yard field goal,10,10
4,2.0,,Oilers,Al Del Greco 44 yard field goal,10,13
5,2.0,,Oilers,Al Del Greco 33 yard field goal,10,16
6,2.0,,Chiefs,Lake Dawson 23 yard pass from Steve Bono (Pete Stoyanovich kick),17,16
7,4.0,,Chiefs,Pete Stoyanovich 43 yard field goal,20,16
8,4.0,,Oilers,Al Del Greco 22 yard field goal,20,19
