,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,8:25,Saints,Marques Colston 5 yard pass from Drew Brees (Garrett Hartley kick),0,7
1,1.0,0:24,Saints,Marques Colston 17 yard pass from Drew Brees (Garrett Hartley kick),0,14
2,2.0,11:20,Rams,Josh Brown 38 yard field goal,3,14
3,2.0,1:42,Rams,Josh Brown 45 yard field goal,6,14
4,2.0,0:47,Saints,Malcolm Jenkins 96 yard interception return (Garrett Hartley kick),6,21
5,3.0,4:55,Saints,Lance Moore 31 yard pass from Drew Brees (Garrett Hartley kick),6,28
6,4.0,14:10,Saints,Garrett Hartley 40 yard field goal,6,31
7,4.0,5:23,Rams,Sam Bradford 1 yard rush (Josh Brown kick),13,31
