,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Bobby Howfield 16 yard field goal,0,3
1,2.0,Patriots,Charlie Gogolak 34 yard field goal,3,3
2,3.0,Jets,John Riggins 1 yard rush (Bobby Howfield kick),3,10
3,3.0,Jets,Bobby Howfield 42 yard field goal,3,13
4,4.0,Patriots,Charlie Gogolak 47 yard field goal,6,13
