,Quarter,Tm,Detail,DEN,ATL
0,1.0,Broncos,Vance Johnson 63 yard pass from John Elway (Rich Karlis kick),7,0
1,1.0,Falcons,John Rade 38 yard interception return (Mick Luckhurst kick),7,7
2,2.0,Broncos,Clint Sampson 17 yard pass from John Elway (Rich Karlis kick),14,7
3,2.0,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),14,14
4,2.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),21,14
5,3.0,Falcons,Billy Johnson 62 yard pass from Steve Bartkowski (Mick Luckhurst kick),21,21
6,3.0,Broncos,Rich Karlis 42 yard field goal,24,21
7,3.0,Broncos,Rich Karlis 25 yard field goal,27,21
8,3.0,Falcons,Billy Johnson 6 yard pass from Steve Bartkowski (Mick Luckhurst kick),27,28
9,4.0,Broncos,Gene Lang 2 yard rush (Rich Karlis kick),34,28
10,4.0,Broncos,Rich Karlis 47 yard field goal,37,28
11,4.0,Broncos,Butch Johnson 31 yard pass from John Elway (Rich Karlis kick),44,28
