,Quarter,Time,Tm,Detail,IND,WAS
0,1.0,,Redskins,Scott Blanton 20 yard field goal,0,3
1,1.0,,Redskins,Terry Allen 4 yard rush (Scott Blanton kick),0,10
2,2.0,,Colts,Cary Blanchard 21 yard field goal,3,10
3,2.0,,Redskins,Leslie Shepherd 7 yard pass from Gus Frerotte (Scott Blanton kick),3,17
4,2.0,,Colts,Marshall Faulk 1 yard rush (Cary Blanchard kick),10,17
5,2.0,,Colts,Cary Blanchard 49 yard field goal,13,17
6,3.0,,Redskins,Terry Allen 1 yard rush (Scott Blanton kick),13,24
7,3.0,,Colts,Cary Blanchard 51 yard field goal,16,24
8,4.0,,Redskins,Terry Allen 32 yard rush (Scott Blanton kick),16,31
