,Quarter,Tm,Detail,RAM,MIN
0,1,Vikings,Rich Karlis 20 yard field goal,0,3
1,1,Rams,Greg Bell 1 yard rush (Mike Lansford kick),7,3
2,2,Vikings,Rich Karlis 24 yard field goal,7,6
3,2,Vikings,Rich Karlis 22 yard field goal,7,9
4,2,Vikings,Rich Karlis 25 yard field goal,7,12
5,3,Vikings,Rich Karlis 29 yard field goal,7,15
6,3,Vikings,Rich Karlis 36 yard field goal,7,18
7,4,Rams,Henry Ellard 6 yard pass from Jim Everett (Mike Lansford kick),14,18
8,4,Rams,Greg Bell 1 yard rush (Mike Lansford kick),21,18
9,4,Vikings,Rich Karlis 40 yard field goal,21,21
10,OT,Vikings,"Safety, Merriweather blocked punt out of end zone",21,23
