,Quarter,Tm,Detail,DET,NWE
0,1.0,Patriots,Tony Eason 16 yard rush (Tony Franklin kick),0,7
1,1.0,Lions,Eddie Murray 26 yard field goal,3,7
2,2.0,Patriots,Derrick Ramsey 6 yard pass from Tony Eason (Tony Franklin kick),3,14
3,2.0,Patriots,Tony Franklin 38 yard field goal,3,17
4,3.0,Lions,Eddie Murray 37 yard field goal,6,17
5,4.0,Patriots,Tony Franklin 50 yard field goal,6,20
6,4.0,Patriots,Tony Franklin 22 yard field goal,6,23
