,Quarter,Time,Tm,Detail,DAL,ARI
0,1,,Cardinals,Kevin Butler 33 yard field goal,0,3
1,2,,Cardinals,Kevin Butler 28 yard field goal,0,6
2,3,,Cowboys,Michael Irvin 50 yard pass from Troy Aikman (Chris Boniol kick),7,6
3,4,,Cowboys,Chris Boniol 31 yard field goal,10,6
