,Quarter,Time,Tm,Detail,OAK,MIA
0,1.0,10:36,Raiders,Jerry Porter 7 yard pass from Daunte Culpepper (Sebastian Janikowski kick),7,0
1,1.0,2:01,Raiders,Daunte Culpepper 2 yard rush (Sebastian Janikowski kick),14,0
2,2.0,12:40,Dolphins,Ronnie Brown 9 yard rush (Jay Feely kick),14,7
3,3.0,6:10,Dolphins,Jay Feely 29 yard field goal,14,10
4,3.0,4:00,Raiders,Daunte Culpepper 5 yard rush (Sebastian Janikowski kick),21,10
5,3.0,0:08,Dolphins,Justin Peelle 3 yard pass from Trent Green (Jay Feely kick),21,17
6,4.0,7:58,Raiders,Jerry Porter 27 yard pass from Daunte Culpepper (Sebastian Janikowski kick),28,17
7,4.0,0:23,Raiders,Daunte Culpepper 3 yard rush (Sebastian Janikowski kick),35,17
