,Quarter,Tm,Detail,DET,ATL
0,1.0,Lions,Gary Ellerson 8 yard rush (Eddie Murray kick),7,0
1,2.0,Falcons,Mick Luckhurst 50 yard field goal,7,3
2,2.0,Lions,Eddie Murray 45 yard field goal,10,3
3,2.0,Falcons,Floyd Dixon 51 yard pass from Chris Miller (Mick Luckhurst kick),10,10
4,2.0,Falcons,Mick Luckhurst 28 yard field goal,10,13
5,3.0,Lions,Gary Ellerson 2 yard rush (Eddie Murray kick),17,13
6,3.0,Lions,Eddie Murray 23 yard field goal,20,13
7,4.0,Lions,Eddie Murray 46 yard field goal,23,13
8,4.0,Lions,Ricky Smith 34 yard interception return (Eddie Murray kick),30,13
