,Quarter,Time,Tm,Detail,SFO,NYJ
0,1.0,2:32,Jets,Curtis Martin 2 yard rush (John Hall kick),0,7
1,2.0,12:54,49ers,Terrell Owens 6 yard pass from Jeff Garcia (Jose Cortez kick),7,7
2,2.0,2:18,49ers,Jose Cortez 19 yard field goal,10,7
3,2.0,0:00,49ers,Jose Cortez 49 yard field goal,13,7
4,3.0,9:59,Jets,John Hall 24 yard field goal,13,10
5,3.0,5:48,49ers,Jose Cortez 35 yard field goal,16,10
6,4.0,9:46,49ers,Jose Cortez 29 yard field goal,19,10
7,4.0,0:50,Jets,Curtis Martin 1 yard rush (John Hall kick),19,17
