,Quarter,Tm,Detail,RAM,HOU
0,1.0,Rams,Mike Lansford 28 yard field goal,3,0
1,1.0,Rams,Mike Lansford 44 yard field goal,6,0
2,2.0,Rams,Kevin Greene 25 yard interception return (Mike Lansford kick),13,0
3,2.0,Oilers,Tony Zendejas 44 yard field goal,13,3
4,3.0,Rams,Mike Lansford 47 yard field goal,16,3
5,4.0,Oilers,Jamie Williams 3 yard pass from Warren Moon (Tony Zendejas kick),16,10
6,4.0,Oilers,Ernest Givins 59 yard pass from Warren Moon (Tony Zendejas kick),16,17
7,4.0,Oilers,Tony Zendejas 19 yard field goal,16,20
