,Quarter,Tm,Detail,PHI,CHI
0,2.0,Bears,Dennis McKinnon 14 yard pass from Mike Tomczak (Kevin Butler kick),0,7
1,2.0,Bears,Matt Suhey 1 yard pass from Mike Tomczak,0,13
2,3.0,Eagles,Luis Zendejas 47 yard field goal,3,13
3,3.0,Bears,Neal Anderson 2 yard rush (Kevin Butler kick),3,20
4,4.0,Eagles,Gregg Garrity 24 yard pass from Randall Cunningham (Luis Zendejas kick),10,20
5,4.0,Eagles,Luis Zendejas 19 yard field goal,13,20
6,4.0,Bears,James Thornton 36 yard pass from Mike Tomczak (Kevin Butler kick),13,27
