,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Bake Turner 34 yard pass from Joe Namath (Jim Turner kick),7,0
1,1.0,Jets,Matt Snell 2 yard pass from Joe Namath (Jim Turner kick),14,0
2,2.0,Dolphins,Karl Kremser 24 yard field goal,14,3
3,2.0,Jets,Jim Turner 30 yard field goal,17,3
4,2.0,Jets,Bake Turner 28 yard pass from Babe Parilli (Jim Turner kick),24,3
5,3.0,Jets,Jim Turner 27 yard field goal,27,3
6,4.0,Dolphins,Larry Csonka 1 yard rush (run failed),27,9
