,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Paige Cothren 24 yard field goal,3,0
1,2.0,49ers,Gordie Soltau 22 yard field goal,3,3
2,2.0,Rams,Del Shofner 17 yard pass from Billy Wade (Paige Cothren kick),10,3
3,3.0,Rams,"Safety, Tittle stepped out of end zone",12,3
4,3.0,Rams,Lamar Lundy 18 yard pass from Billy Wade (Paige Cothren kick),19,3
5,4.0,Rams,Lou Michaels 6 yard interception return (Paige Cothren kick),26,3
6,4.0,Rams,Tommy Wilson 3 yard rush (Paige Cothren kick),33,3
