,Quarter,Time,Tm,Detail,TAM,DAL
0,1.0,5:54,Buccaneers,Roberto Aguayo 25 yard field goal,3,0
1,2.0,14:56,Cowboys,Dan Bailey 27 yard field goal,3,3
2,2.0,12:34,Cowboys,Ezekiel Elliott 2 yard rush (Dan Bailey kick),3,10
3,2.0,6:24,Cowboys,Dak Prescott 2 yard rush (Dan Bailey kick),3,17
4,2.0,1:52,Buccaneers,Roberto Aguayo 34 yard field goal,6,17
5,3.0,11:44,Buccaneers,Adam Humphries 42 yard pass from Jameis Winston (Roberto Aguayo kick),13,17
6,3.0,4:12,Buccaneers,Cameron Brate 10 yard pass from Jameis Winston (Roberto Aguayo kick),20,17
7,4.0,13:31,Cowboys,Dan Bailey 40 yard field goal,20,20
8,4.0,9:35,Cowboys,Dan Bailey 38 yard field goal,20,23
9,4.0,2:58,Cowboys,Dan Bailey 33 yard field goal,20,26
