,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,Anthony Miller offensive fumble recovery in end zone (John Carney kick),0,7
1,2.0,Raiders,Jeff Jaeger 36 yard field goal,3,7
2,2.0,Chargers,Marion Butts 1 yard rush (John Carney kick),3,14
3,2.0,Chargers,Shawn Jefferson 15 yard pass from Stan Humphries (John Carney kick),3,21
4,4.0,Chargers,John Carney 27 yard field goal,3,24
5,4.0,Chargers,John Carney 21 yard field goal,3,27
